Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-03-23,54.32686571937933,55.125790975808215,53.65867563454239,54.86916732788086,9421980.0,0.0,0.0,-0.616818493130928,4.023012659617036,4,3,1,2018,56.22007369995117,56.39438629150391,57.454776763916016,62.19215564727783,58.15201950073242,62.83680720011394,67.74887718836467,32.857854457215765,-2.8185502706942103,-2.37090862256079
2018-03-26,54.9417957026808,57.00931381928133,54.36075749313181,56.40406799316406,6754600.0,0.0,0.0,-0.5714280532542149,4.05011517177534,0,3,1,2018,54.86916732788086,56.22007369995117,56.39438629150391,57.454776763916016,62.19215564727783,62.41700866699219,67.52090121587118,35.52296094881174,-2.8114482006527197,-2.459016538179176
2018-03-27,57.13520597974878,57.99223244402897,56.92215826685608,57.14004898071289,5558770.0,0.0,0.0,-0.5496634521166062,4.062854737591897,1,3,1,2018,56.40406799316406,54.86916732788086,56.22007369995117,56.39438629150391,57.454776763916016,62.021742833455406,67.29647602717083,39.052191017425244,-2.715133870979244,-2.51024000473919
2018-03-28,56.22491858757225,56.52996115944613,54.76264257709192,55.28557586669922,6425720.0,0.0,0.0,-0.6045043628599001,4.030438301018517,2,3,1,2018,57.14004898071289,56.40406799316406,54.86916732788086,56.22007369995117,56.39438629150391,61.57805742899577,67.03436423619588,38.13718748806313,-2.756667406729271,-2.5595254851372062
2018-03-29,56.22491858757225,56.52996115944613,54.76264257709192,55.28557586669922,6425720.0,0.0,0.0,-0.6045043628599001,4.030438301018517,3,3,1,2018,55.28557586669922,57.14004898071289,56.40406799316406,54.86916732788086,56.22007369995117,61.16180961608887,66.72794855117799,29.681979683046578,-2.757792913009439,-2.5991789707116526
2018-03-30,56.22491858757225,56.52996115944613,54.76264257709192,55.28557586669922,6425720.0,0.0,0.0,-0.6045043628599001,4.030438301018517,4,3,1,2018,55.28557586669922,55.28557586669922,57.14004898071289,56.40406799316406,54.86916732788086,60.78284487406413,66.40611920038859,36.60390959034881,-2.727246880459603,-2.624792552661243
2018-04-02,55.67777171155585,56.186179671363526,55.09189420874665,56.02639389038086,5258730.0,0.0,0.0,-0.5825967197634638,4.043514211368091,0,4,2,2018,55.28557586669922,55.28557586669922,55.28557586669922,57.14004898071289,56.40406799316406,60.55785491943359,66.09881577173869,37.269038520465905,-2.6131384726643674,-2.622461736661868
2018-04-03,55.68261521685682,56.69458445066032,55.10158070963619,56.11839294433594,8441220.0,0.0,0.0,-0.5798761023178444,4.045126182907528,1,4,2,2018,56.02639389038086,55.28557586669922,55.28557586669922,55.28557586669922,57.14004898071289,60.32786160786946,65.7876387087504,39.13735612809332,-2.4866189867809183,-2.5952931866856783
2018-04-04,56.41375356432803,57.12552324146736,54.03634620431176,54.27360153198242,11148670.0,0.0,0.0,-0.6344307035252514,4.012295426233178,2,4,2,2018,56.11839294433594,56.02639389038086,55.28557586669922,55.28557586669922,55.28557586669922,60.06930053710937,65.44644144058228,37.165589741553255,-2.506319342851654,-2.5774984179188736
2018-04-05,55.42599085498095,56.4573283847278,55.15484191438135,56.263648986816406,6363530.0,0.0,0.0,-0.5755805568066158,4.04766602426921,3,4,2,2018,54.27360153198242,56.11839294433594,56.02639389038086,55.28557586669922,55.28557586669922,59.885789947509764,65.13881509780884,45.31564335802467,-2.3344418266484936,-2.528887099664798
