Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-03-23,497.637675270958,512.7996963766993,497.637675270958,510.6258239746094,91930.0,0.0,0.0,-1.2171138224578353,6.2375935453162485,4,3,1,2018,510.2010498046875,511.23052978515625,506.403076171875,495.2889099121094,500.9059753417969,503.7497867838542,502.7785544840495,54.632857362049435,1.6185458922231533,0.598393779251292
2018-03-26,512.2299777706304,518.0469186922098,506.6079414292454,513.6142578125,147140.0,0.0,0.0,-1.2102033362342222,6.2434176060563225,0,3,1,2018,510.6258239746094,510.2010498046875,511.23052978515625,506.403076171875,495.2889099121094,504.29639841715493,502.7064251708984,59.29619384109312,2.1360530307148338,0.9059256295440004
2018-03-27,518.5266873794176,526.722379874074,510.8457382268769,503.567561340332,143780.0,0.0,0.0,-1.2334354241203451,6.223701748251376,1,3,1,2018,513.6142578125,510.6258239746094,510.2010498046875,511.23052978515625,506.403076171875,504.46149480183914,502.58453941345215,48.946321288884924,1.715718984394698,1.06788430051414
2018-03-28,527.222091461454,529.6058447065514,507.2426327701532,517.5821533203125,544180.0,0.0,0.0,-1.2010279324170745,6.251098459323663,2,3,1,2018,503.567561340332,513.6142578125,510.6258239746094,510.2010498046875,511.23052978515625,504.41351913452144,502.7080572764079,68.41858856543831,2.484818234434101,1.3512710872981324
2018-03-29,527.222091461454,529.6058447065514,507.2426327701532,517.5821533203125,544180.0,0.0,0.0,-1.2010279324170745,6.251098459323663,3,3,1,2018,517.5821533203125,503.567561340332,513.6142578125,510.6258239746094,510.2010498046875,504.55344426472976,502.9164470672607,64.26319168095685,3.0590718550127463,1.692831240841055
2018-03-30,527.222091461454,529.6058447065514,507.2426327701532,517.5821533203125,544180.0,0.0,0.0,-1.2010279324170745,6.251098459323663,4,3,1,2018,517.5821533203125,517.5821533203125,503.567561340332,513.6142578125,510.6258239746094,504.9394071960449,503.0024008433024,60.511904246457824,3.4741244425884474,2.0490898811905334
2018-04-02,509.73132794566,527.641870466361,509.2565720791359,526.0676879882812,87020.0,0.0,0.0,-1.1814058917081594,6.267328980499093,0,4,2,2018,517.5821533203125,517.5821533203125,517.5821533203125,503.567561340332,513.6142578125,505.79745468139646,503.07044792175293,62.029620877562984,4.436625680526106,2.5265970410576477
2018-04-03,526.7223429586129,542.2891492608833,523.2241869807093,509.1835952758789,142010.0,0.0,0.0,-1.2204488474557154,6.23477065167427,1,4,2,2018,526.0676879882812,517.5821533203125,517.5821533203125,517.5821533203125,503.567561340332,506.0655465698242,502.9480460103353,49.153145924029964,3.7932830644677438,2.7799342457396667
2018-04-04,540.7150064578813,544.2081604456083,519.8760144364453,522.3796997070312,116910.0,0.0,0.0,-1.189934035074523,6.26030720391596,2,4,2,2018,509.1835952758789,526.0676879882812,517.5821533203125,517.5821533203125,517.5821533203125,506.909104309082,503.02084264119463,60.474329991596875,4.298692102639507,3.083685817119635
2018-04-05,527.7218136199174,549.6102996087611,527.7218136199174,513.9550827026367,160060.0,0.0,0.0,-1.2094152091296193,6.244079678806888,3,4,2,2018,522.3796997070312,509.1835952758789,526.0676879882812,517.5821533203125,517.5821533203125,507.54163823445634,503.00886558532716,56.72267005715191,3.9736306808835593,3.26167478987242
2018-04-06,544.1132001797348,550.1100390016878,541.4695742114308,516.5597091674805,80680.0,0.0,0.0,-1.2033922431617108,6.249124898517539,4,4,2,2018,513.9550827026367,522.3796997070312,509.1835952758789,526.0676879882812,517.5821533203125,508.0077927652994,503.19838256835936,61.309373653719,3.8814458584025715,3.3856290035784506
2018-04-09,551.1095496562134,557.1863028206498,546.1771518294973,519.1468460083008,120670.0,0.0,0.0,-1.1974097203866003,6.254111167878989,0,4,2,2018,516.5597091674805,513.9550827026367,522.3796997070312,509.1835952758789,526.0676879882812,508.0965967305501,503.50964398701984,57.45131678109095,3.9713695675965255,3.502777116382066
2018-04-10,555.3622707186842,557.8059288361985,539.4056553745247,540.8248901367188,128590.0,0.0,0.0,-1.1472811803450218,6.294942868309196,1,4,2,2018,519.1468460083008,516.5597091674805,513.9550827026367,522.3796997070312,509.1835952758789,509.0795770772298,504.26541180928547,64.45543452268673,5.725867508774968,3.947395194860646
2018-04-11,544.1131798749798,546.6917765500343,534.2183717868038,541.4895629882812,108130.0,0.0,0.0,-1.1457441837665148,6.2961688464982695,2,4,2,2018,540.8248901367188,519.1468460083008,516.5597091674805,513.9550827026367,522.3796997070312,510.2819432067871,505.02367851257327,65.33760787698603,7.088244442201699,4.575565044328856
2018-04-12,539.8254240022342,544.5829259179056,536.8570180523885,541.0697631835938,51480.0,0.0,0.0,-1.146714933304345,6.295394707517538,3,4,2,2018,541.4895629882812,540.8248901367188,519.1468460083008,516.5597091674805,513.9550827026367,511.67287541707356,505.8395812225342,64.92432612782383,8.041367759558625,5.26872558737481
2018-04-13,542.7838941618737,543.8982969703595,530.9501051532391,532.9790649414062,92980.0,0.0,0.0,-1.1654239500585897,6.280356633962112,4,4,2,2018,541.0697631835938,541.4895629882812,540.8248901367188,519.1468460083008,516.5597091674805,512.7941176859538,506.4457620493571,59.04081189695423,8.051065453158799,5.825193560531608
2018-04-16,531.4198875345835,539.6155795879928,531.3199036175054,538.186279296875,57920.0,0.0,0.0,-1.1533827321435006,6.290061112866459,0,4,2,2018,532.9790649414062,541.0697631835938,541.4895629882812,540.8248901367188,519.1468460083008,513.9843225606282,506.99655448913575,66.9272875041026,8.382303646550668,6.3366155777354205
2018-04-17,538.4162254589135,544.1331828859137,538.276284570084,542.4041137695312,74800.0,0.0,0.0,-1.1436293668030302,6.29785326738967,1,4,2,2018,538.186279296875,532.9790649414062,541.0697631835938,541.4895629882812,540.8248901367188,515.4772028096517,507.6989348602295,63.42302591085653,8.882761349772636,6.845844732142863
2018-04-18,544.5029830203955,544.7028898611259,534.5032487676638,535.6876220703125,54710.0,0.0,0.0,-1.1591606537165875,6.285416215884058,2,4,2,2018,542.4041137695312,538.186279296875,532.9790649414062,541.0697631835938,541.4895629882812,516.4858626810709,508.266385828654,59.12786881371798,8.637841279712347,7.204244041656761
2018-04-19,536.0174200206103,540.0153124854338,535.687576811423,537.1068725585938,35430.0,0.0,0.0,-1.1558787637771917,6.288057188312334,3,4,2,2018,535.6876220703125,542.4041137695312,538.186279296875,532.9790649414062,541.0697631835938,518.1636448669434,508.9940022023519,59.70450927660961,8.46073196144016,7.455541625613441
2018-04-20,535.2778275039263,538.7160175140806,526.8822288038061,529.5958251953125,83120.0,0.0,0.0,-1.1732473896677007,6.274000573589973,4,4,2,2018,537.1068725585938,535.6876220703125,542.4041137695312,538.186279296875,532.9790649414062,519.2668960062663,509.59643445332847,51.77076864562252,7.62638063225927,7.489709426942608
2018-04-23,529.5958085338506,533.9885123265835,525.9227570942293,528.4064331054688,35320.0,0.0,0.0,-1.1759977525993228,6.271756441410648,0,4,2,2018,529.5958251953125,537.1068725585938,535.6876220703125,542.4041137695312,538.186279296875,520.0964573669434,510.22277061462404,61.452127329898055,6.790895969668441,7.349946735487775
2018-04-24,528.5213735706465,544.3930115939412,528.5213735706465,542.7838745117188,143800.0,0.0,0.0,-1.1427512040196075,6.298551878415044,1,4,2,2018,528.4064331054688,529.5958251953125,537.1068725585938,535.6876220703125,542.4041137695312,521.2115361022949,511.13570549011234,61.98718730454375,7.205843243981349,7.32112603718649
2018-04-25,542.8138339937336,549.0355908468835,538.1213613181252,543.0287475585938,122310.0,0.0,0.0,-1.1421849569789309,6.299002090236534,2,4,2,2018,542.7838745117188,528.4064331054688,529.5958251953125,537.1068725585938,535.6876220703125,522.2916335550943,512.1724089813232,68.89654423744331,7.468360545327869,7.350572938814766
2018-04-26,543.10872912912,545.7123371507935,531.719713121286,535.862548828125,88220.0,0.0,0.0,-1.1587561512194342,6.285742100531282,3,4,2,2018,543.0287475585938,542.7838745117188,528.4064331054688,529.5958251953125,537.1068725585938,523.3767287699382,512.7421920013428,61.84367225088258,7.017264395002712,7.283911230052356
2018-04-27,537.7165654045762,545.712350763752,536.0274533073302,543.2986450195312,85490.0,0.0,0.0,-1.1415608432167492,6.299498076036966,4,4,2,2018,535.862548828125,543.0287475585938,542.7838745117188,528.4064331054688,529.5958251953125,524.7898177591959,513.5729211680094,63.986601455984335,7.177065518763243,7.262542087794533
2018-04-30,543.8583662943375,552.4238589758569,540.2152669435721,547.9661865234375,103880.0,0.0,0.0,-1.1307675705493332,6.308036848580735,0,4,2,2018,543.2986450195312,535.862548828125,543.0287475585938,542.7838745117188,528.4064331054688,526.5457269795736,514.5354974619547,55.15032851210384,7.592815402148972,7.3285967506654215
2018-05-01,543.8583662943375,552.4238589758569,540.2152669435721,547.9661865234375,103880.0,0.0,0.0,-1.1307675705493332,6.308036848580735,1,5,2,2018,547.9661865234375,543.2986450195312,535.862548828125,543.0287475585938,542.7838745117188,527.9311639912924,515.5028212738038,54.716179447087924,7.832017556914025,7.429280911915142
