Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-03-23,1766.63131552223,1770.5680983980455,1748.8173970373805,1756.93701171875,152900.0,0.0,0.0,-1.2772021576288006,7.471896248091711,4,3,1,2018,1779.9671630859375,1786.65966796875,1768.143310546875,1744.02783203125,1759.106201171875,1781.8148091634114,1788.1312672932943,44.362144522025055,-5.561278514058813,-4.006975740951458
2018-03-26,1742.2725047408323,1840.2983761918915,1742.2725047408323,1803.6370849609373,1087019.0,0.0,0.0,-1.1439727661457826,7.498114789588047,0,3,1,2018,1756.93701171875,1779.9671630859375,1786.65966796875,1768.143310546875,1744.02783203125,1782.8211201985678,1790.5671010335286,54.500345867190674,-2.8985745959087126,-3.785295511942909
2018-03-27,1806.0974706744448,1836.2630923336533,1786.3151615090878,1793.1552734375,101053.0,0.0,0.0,-1.173876046246973,7.492289590399294,1,3,1,2018,1803.6370849609373,1756.93701171875,1779.9671630859375,1786.65966796875,1768.143310546875,1783.4780375162761,1792.58757425944,52.4908525932229,-1.615534273348203,-3.351343264223968
2018-03-28,1796.1571437795428,1802.4560202571768,1784.2975375956912,1795.566650390625,67435.0,0.0,0.0,-1.1669966933509952,7.493632705999321,2,3,1,2018,1793.1552734375,1803.6370849609373,1756.93701171875,1779.9671630859375,1786.65966796875,1783.9402852376302,1794.667064412435,55.87479166209641,-0.39953204974426626,-2.760981021328028
2018-03-29,1796.1571437795428,1802.4560202571768,1784.2975375956912,1795.566650390625,67435.0,0.0,0.0,-1.1669966933509952,7.493632705999321,3,3,1,2018,1795.566650390625,1793.1552734375,1803.6370849609373,1756.93701171875,1779.9671630859375,1783.8720967610677,1796.671245320638,51.98952350723975,0.5577293168939832,-2.097238953683626
2018-03-30,1796.1571437795428,1802.4560202571768,1784.2975375956912,1795.566650390625,67435.0,0.0,0.0,-1.1669966933509952,7.493632705999321,4,3,1,2018,1795.566650390625,1795.566650390625,1793.1552734375,1803.6370849609373,1756.93701171875,1784.2590393066407,1798.3406260172526,52.531003520962784,1.301364526460702,-1.4175182576547602
2018-04-02,1805.999066259389,1823.4192816758705,1800.0938922007754,1809.050048828125,18726.0,0.0,0.0,-1.1285302661221743,7.5011097751638385,0,4,2,2018,1795.566650390625,1795.566650390625,1795.566650390625,1793.1552734375,1803.6370849609373,1785.2525939941406,1800.0227142333983,54.61889117995188,2.9447530756772267,-0.545063990988363
2018-04-03,1801.5702159772773,1815.841053525308,1788.2835741222138,1801.176513671875,33076.0,0.0,0.0,-1.1509924642486586,7.496750387683989,1,4,2,2018,1809.050048828125,1795.566650390625,1795.566650390625,1795.566650390625,1793.1552734375,1786.0540954589844,1801.6284210205079,47.20783744175806,3.5706614926482416,0.2780811057389579
2018-04-04,1796.157110466237,1801.0780888510762,1765.6470444802353,1774.7508544921875,68830.0,0.0,0.0,-1.2263815214304137,7.481978629078529,2,4,2,2018,1801.176513671875,1809.050048828125,1795.566650390625,1795.566650390625,1795.566650390625,1785.4852315266928,1802.9606943766275,45.08174173169047,1.9123244888453428,0.6049297823602349
2018-04-05,1782.526044504444,1801.0781091966426,1782.526044504444,1793.8934326171875,26927.0,0.0,0.0,-1.1717701716412234,7.492700930144475,3,4,2,2018,1774.7508544921875,1801.176513671875,1809.050048828125,1795.566650390625,1795.566650390625,1785.7623758951822,1804.359066772461,58.12970812277593,2.11830800308735,0.9076054265056579
