Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-03-23,102.00646265685327,103.6003136358666,101.60799991209994,103.20185089111328,627538.0,0.0,0.0,-0.6750880258336143,4.646329892032077,4,3,1,2018,102.64400482177734,103.20185089111328,103.60031127929688,103.14871978759766,102.1392822265625,103.39408287048339,102.88916014353434,40.99997415147434,-0.005641972828883013,0.1111102889652979
2018-03-26,103.33466894084484,106.150469376629,101.92676872295276,103.41436004638672,2926561.0,0.0,0.0,-0.6677779488582405,4.648367214326671,0,3,1,2018,103.20185089111328,102.64400482177734,103.20185089111328,103.60031127929688,103.14871978759766,103.45055413564046,102.87856444040933,53.68854340407959,0.008484154547844014,0.09058506208180712
2018-03-27,104.10503179585348,106.25672764833404,103.8925125757604,104.18472290039062,2258811.0,0.0,0.0,-0.6412783293265962,4.65571807018019,1,3,1,2018,103.41436004638672,103.20185089111328,102.64400482177734,103.20185089111328,103.60031127929688,103.52690040588378,102.8786436589559,60.377356445666045,0.08090839478293788,0.08864972862203328
2018-03-28,103.86595066317068,104.07846267601388,102.0330192396577,102.98933410644533,3337702.0,0.0,0.0,-0.6823983652516161,4.644288337213283,2,3,1,2018,104.18472290039062,103.41436004638672,103.20185089111328,102.64400482177734,103.20185089111328,103.4985650889079,102.8479774347941,45.45451697127948,0.041370349925529126,0.07919385288273245
2018-03-29,103.86595066317068,104.07846267601388,102.0330192396577,102.98933410644533,3337702.0,0.0,0.0,-0.6823983652516161,4.644288337213283,3,3,1,2018,102.98933410644533,104.18472290039062,103.41436004638672,103.20185089111328,102.64400482177734,103.52770284016927,102.82899918874105,46.296262808600645,0.009921792274553809,0.06533944076109673
2018-03-30,103.86595066317068,104.07846267601388,102.0330192396577,102.98933410644533,3337702.0,0.0,0.0,-0.6823983652516161,4.644288337213283,4,3,1,2018,102.98933410644533,102.98933410644533,104.18472290039062,103.41436004638672,103.20185089111328,103.49582595825196,102.80612486521403,44.65648729442029,-0.014830459928063533,0.04930546062326468
2018-04-02,102.0064644389677,103.70657506201552,102.0064644389677,103.44093322753906,211398.0,0.0,0.0,-0.6668638611830331,4.648621679328531,0,4,2,2018,102.98933410644533,102.98933410644533,102.98933410644533,104.18472290039062,103.41436004638672,103.50910822550456,102.78991151173909,47.27274436266906,0.0019707590879392,0.03983852031619958
2018-04-03,103.44092453044652,106.07077414705392,103.44092453044652,103.38381423950196,2454647.0,0.0,0.0,-0.6688286904101288,4.648074627409116,1,4,2,2018,103.44093322753906,102.98933410644533,102.98933410644533,102.98933410644533,104.18472290039062,103.5010063934326,102.7753434753418,49.589887031726974,0.01055514805662483,0.033981845864284634
2018-04-04,105.72544401009236,106.25672764833404,103.414358742542,104.18472290039062,830125.0,0.0,0.0,-0.6412783293265962,4.65571807018019,2,4,2,2018,103.38381423950196,103.44093322753906,102.98933410644533,102.98933410644533,102.98933410644533,103.52757067362467,102.78494621276856,54.97769593111948,0.08105067192855131,0.04339561107713797
2018-04-05,105.19416177555016,105.38011249261515,103.70657045102143,104.42379760742188,187927.0,0.0,0.0,-0.6330544271186437,4.657988394373578,3,4,2,2018,104.18472290039062,103.38381423950196,103.44093322753906,102.98933410644533,102.98933410644533,103.62674339294432,102.80892298380535,67.04316878768095,0.1544300399454812,0.06560249685080663
2018-04-06,105.19416168225578,105.19416168225578,103.97221218147632,104.23785400390624,983175.0,0.0,0.0,-0.639450678861439,4.656223064515174,4,4,2,2018,104.42379760742188,104.18472290039062,103.38381423950196,103.44093322753906,102.98933410644533,103.6789864349365,102.84495203653972,59.26347234825431,0.19532800332564193,0.09154759814577369
2018-04-09,104.23785983282944,104.45037186145782,103.78626726824662,103.998779296875,105949.0,0.0,0.0,-0.6476745810693912,4.653948724345896,0,4,2,2018,104.23785400390624,104.42379760742188,104.18472290039062,103.38381423950196,103.44093322753906,103.67987195332844,102.85405326843262,53.516225345421965,0.2060731204748265,0.11445270261158426
2018-04-10,104.90195917030242,105.5129339242468,104.26441591036308,104.60974884033205,805133.0,0.0,0.0,-0.6266579129332197,4.659750685574815,1,4,2,2018,103.998779296875,104.23785400390624,104.42379760742188,104.18472290039062,103.38381423950196,103.6621626027425,102.901908009847,61.974686363356916,0.2608815590814544,0.1437384739055583
