Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2018-03-23,2730.260447562003,2730.357569947744,2666.319332699503,2856.9834106445314,21592.0,0.0,0.0,-0.6934919636265084,7.957871553939912,4,3,1,2018,2757.57373046875,2768.780517578125,2788.137451171875,2888.903063964844,2825.638671875,2911.0572155761715,3029.7582423909503,42.91061867192558,-55.310489671381674,-55.27400684140633
2018-03-26,2688.635532856291,2773.0495679910787,2653.8510339696213,2754.759765625,21632.0,0.0,0.0,-0.8624481799062047,7.921448460563899,0,3,1,2018,2856.9834106445314,2757.57373046875,2768.780517578125,2788.137451171875,2888.903063964844,2901.218608805338,3022.4124416097006,36.19384531656184,-58.20819416999075,-55.86084430712322
2018-03-27,2765.2873952036016,2767.22794776164,2712.9410373273085,2719.87841796875,19524.0,0.0,0.0,-0.9201004042776856,7.908710054936261,1,3,1,2018,2754.759765625,2856.9834106445314,2757.57373046875,2768.780517578125,2788.137451171875,2890.2172904459635,3014.4731553141273,31.839748336455898,-62.59769187600932,-57.20821382090044
2018-03-28,2692.516688582986,2712.9896129326016,2656.131327926459,2667.1923828125,13924.0,0.0,0.0,-1.0071803861065305,7.8891565119368305,2,3,1,2018,2719.87841796875,2754.759765625,2856.9834106445314,2757.57373046875,2768.780517578125,2878.510902099609,3006.410964558919,35.60757573447265,-69.52626761967349,-59.67182458065505
2018-03-29,2692.516688582986,2712.9896129326016,2656.131327926459,2667.1923828125,13924.0,0.0,0.0,-1.0071803861065305,7.8891565119368305,3,3,1,2018,2667.1923828125,2719.87841796875,2754.759765625,2856.9834106445314,2757.57373046875,2865.8423229980467,2998.101353556315,34.16264902358846,-74.16231679069597,-62.56992302266323
2018-03-30,2692.516688582986,2712.9896129326016,2656.131327926459,2667.1923828125,13924.0,0.0,0.0,-1.0071803861065305,7.8891565119368305,4,3,1,2018,2667.1923828125,2667.1923828125,2719.87841796875,2754.759765625,2856.9834106445314,2854.3914440917965,2989.552407430013,31.644361304863708,-76.9493944398937,-65.44581730610932
2018-04-02,2682.8140218041926,2736.1792193446017,2668.308438213164,2725.1181640625,14280.0,0.0,0.0,-0.9114401019171392,7.910633958368562,0,4,2,2018,2667.1923828125,2667.1923828125,2667.1923828125,2719.87841796875,2754.759765625,2846.912236735026,2982.0044663492836,36.665672237093645,-73.63522606601873,-67.08369905809121
2018-04-03,2702.219433952298,2740.399900241217,2698.338328840697,2708.768798828125,9186.0,0.0,0.0,-0.9384624888418768,7.90461859614873,1,4,2,2018,2725.1181640625,2667.1923828125,2667.1923828125,2667.1923828125,2719.87841796875,2838.5710990397133,2974.7403306070964,37.17162469139051,-71.50373039502938,-67.96770532547885
2018-04-04,2707.0709639157108,2731.6675636639766,2665.3490816761496,2684.1240234375,16369.0,0.0,0.0,-0.979195608857969,7.895482197100578,2,4,2,2018,2708.768798828125,2725.1181640625,2667.1923828125,2667.1923828125,2667.1923828125,2830.747441813151,2967.6411444091796,35.66589880668562,-70.98486281621308,-68.5711368236257
2018-04-05,2707.0707851007464,2742.971006982011,2692.5166410948286,2727.010009765625,17492.0,0.0,0.0,-0.908313241280112,7.911327688225545,3,4,2,2018,2684.1240234375,2708.768798828125,2725.1181640625,2667.1923828125,2667.1923828125,2825.55807820638,2961.3108994547524,42.11727875450887,-66.34829400530998,-68.12656825996255
2018-04-06,2731.3276717061544,2739.720466601017,2693.48689756884,2700.327392578125,37887.0,0.0,0.0,-0.9524145256706094,7.901498558064306,4,4,2,2018,2727.010009765625,2684.1240234375,2708.768798828125,2725.1181640625,2667.1923828125,2818.929473063151,2954.9709499104815,33.99238309405577,-64.08807657576745,-67.31886992312354
2018-04-09,2702.219373545253,2721.042638162189,2678.593051952995,2688.101806640625,10525.0,0.0,0.0,-0.9726210908093068,7.896962515961484,0,4,2,2018,2700.327392578125,2727.010009765625,2684.1240234375,2708.768798828125,2725.1181640625,2811.2723685709634,2948.6180609130856,40.00600060459714,-62.56216291999135,-66.36752852249711
2018-04-10,2700.230253404127,2741.03041725724,2679.1267448818808,2684.75439453125,152129.0,0.0,0.0,-0.9781537254969154,7.895716933785191,1,4,2,2018,2688.101806640625,2700.327392578125,2727.010009765625,2684.1240234375,2708.768798828125,2802.6417533365884,2942.262750854492,41.3280189414847,-60.92071742723965,-65.27816630344562
2018-04-11,2700.2789886655446,2716.773686045104,2668.8904550750126,2673.499267578125,24991.0,0.0,0.0,-0.9967563067625737,7.89151745211751,2,4,2,2018,2684.75439453125,2688.101806640625,2700.327392578125,2727.010009765625,2684.1240234375,2794.12272664388,2935.317190144857,41.32389568368289,-59.83827632886869,-64.19018830853024
2018-04-12,2694.457158293645,2696.8828489294874,2674.129918142057,2681.989013671875,36591.0,0.0,0.0,-0.9827243733786556,7.894686755624797,3,4,2,2018,2673.499267578125,2684.75439453125,2688.101806640625,2700.327392578125,2727.010009765625,2785.686170654297,2928.3433253987628,27.76987523780373,-57.63104755965924,-62.87836015875604
