Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01 00:00:00+05:30,1248.9069717420723,1257.2500840242649,1242.2423169104272,1245.84619140625,77414,0.0,0.0
2018-01-02 00:00:00+05:30,1254.4362121769902,1254.4362121769902,1227.4320407663986,1233.3067626953125,149232,0.0,0.0
2018-01-03 00:00:00+05:30,1238.73719396185,1267.7654933830077,1235.1827353755004,1260.0147705078125,470140,0.0,0.0
2018-01-04 00:00:00+05:30,1266.1857954437644,1301.9774627948377,1264.1123712336332,1298.7685546875,269371,0.0,0.0
2018-01-05 00:00:00+05:30,1303.3103425732218,1311.9991264011344,1291.807617338314,1297.8798828125,187226,0.0,0.0
2018-01-08 00:00:00+05:30,1295.4114220265715,1328.4878569639877,1295.4114220265715,1321.181396484375,265822,0.0,0.0
2018-01-09 00:00:00+05:30,1324.8346927679931,1325.9700560582432,1309.1357039521815,1315.948486328125,72066,0.0,0.0
2018-01-10 00:00:00+05:30,1322.0700438424085,1322.0700438424085,1300.6444610215133,1307.111572265625,91543,0.0,0.0
2018-01-11 00:00:00+05:30,1306.2723811744527,1308.8888994673687,1296.8924963512045,1303.6065673828125,52968,0.0,0.0
2018-01-12 00:00:00+05:30,1308.543327822864,1314.7636000789448,1293.4367285081578,1312.3939208984375,108467,0.0,0.0
2018-01-15 00:00:00+05:30,1315.4054279818818,1332.9310022710006,1306.2723822255805,1306.37109375,547908,0.0,0.0
2018-01-16 00:00:00+05:30,1310.2712894414383,1323.0575059335442,1304.1003122682407,1306.519287109375,541609,0.0,0.0
2018-01-17 00:00:00+05:30,1309.2344844096644,1340.8298867483593,1301.385049851903,1335.152587890625,612313,0.0,0.0
2018-01-18 00:00:00+05:30,1338.361427067303,1366.846631417028,1333.8196123202208,1341.6197509765625,521339,0.0,0.0
2018-01-19 00:00:00+05:30,1344.3349847140823,1360.2806921371077,1337.8677529007439,1354.6033935546875,667193,0.0,0.0
2018-01-22 00:00:00+05:30,1353.2212617054988,1387.2356389479485,1330.9563283287077,1381.2620849609375,640553,0.0,0.0
2018-01-23 00:00:00+05:30,1387.2356299461835,1397.1091931486474,1376.3747104234733,1391.7281494140625,225907,0.0,0.0
2018-01-24 00:00:00+05:30,1391.5800547484791,1392.4192835351437,1374.4000302647898,1382.69384765625,519193,0.0,0.0
2018-01-25 00:00:00+05:30,1381.7064770069455,1406.982775035538,1377.36208503479,1395.0850830078125,299987,0.0,0.0
2018-01-29 00:00:00+05:30,1397.306624572956,1422.78046599868,1397.1092015184818,1410.2410888671875,240250,0.0,0.0
2018-01-30 00:00:00+05:30,1408.5624930048373,1417.9917940113348,1388.7166552050462,1411.0308837890625,289830,0.0,0.0
2018-01-31 00:00:00+05:30,1410.8827915173638,1420.213381231193,1394.4434049048539,1398.68896484375,268552,0.0,0.0
2018-02-01 00:00:00+05:30,1436.603377317663,1451.0187547991154,1390.1976324833468,1437.393310546875,704620,0.0,0.0
2018-02-02 00:00:00+05:30,1434.6286513103528,1434.6286513103528,1392.1723319666878,1396.5167236328125,1337632,0.0,0.0
2018-02-05 00:00:00+05:30,1380.9164740500637,1382.2000854294183,1338.9045365016802,1345.519775390625,382239,0.0,0.0
2018-02-07 00:00:00+05:30,1353.6655055491542,1354.652861862465,1312.1965403900992,1315.8004150390625,298808,0.0,0.0
2018-02-08 00:00:00+05:30,1325.2296226175492,1341.96538478657,1317.1333488935795,1330.2158203125,752289,0.0,0.0
2018-02-09 00:00:00+05:30,1312.8876648682171,1325.3777465583516,1303.4584842251124,1312.5421142578125,474127,0.0,0.0
