Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01 00:00:00+05:30,744.387016107059,751.1181632118096,734.339746975413,737.9528198242188,136479,0.0,0.0
2018-01-02 00:00:00+05:30,745.3768961858908,750.2273144979612,739.0416633395855,744.8819580078125,229533,0.0,0.0
2018-01-03 00:00:00+05:30,752.0091176727728,752.0091176727728,742.9517243915571,747.01025390625,100363,0.0,0.0
2018-01-04 00:00:00+05:30,748.3465658629967,752.3060715024835,742.9022456087024,747.356689453125,95126,0.0,0.0
2018-01-05 00:00:00+05:30,749.3364192013715,751.3161719601599,746.3667900631891,748.6434936523438,89039,0.0,0.0
2018-01-08 00:00:00+05:30,749.3364513639044,753.2959570514283,749.2869696262628,752.1080932617188,98655,0.0,0.0
2018-01-09 00:00:00+05:30,752.3555079144105,758.2452842817739,749.3363971296383,752.8009643554688,81194,0.0,0.0
2018-01-10 00:00:00+05:30,753.2959516445403,756.9090247253773,747.3566931558843,750.5737915039062,74736,0.0,0.0
2018-01-11 00:00:00+05:30,756.2655812000553,759.9776177569928,748.1485825120998,757.156494140625,339002,0.0,0.0
2018-01-12 00:00:00+05:30,756.6120155856977,761.1654833567743,754.2858301713653,758.3442993164062,59782,0.0,0.0
2018-01-15 00:00:00+05:30,762.2048382041658,767.6491584770527,748.0001358409017,751.4151611328125,208833,0.0,0.0
2018-01-16 00:00:00+05:30,752.3060459013399,755.2261932945404,735.3791840354635,740.8729858398438,97893,0.0,0.0
2018-01-17 00:00:00+05:30,742.1103345904212,745.9213344886792,731.0237070446802,737.5073852539062,227601,0.0,0.0
2018-01-18 00:00:00+05:30,756.2655588360957,756.2655588360957,737.95284569674,751.0192260742188,120160,0.0,0.0
2018-01-19 00:00:00+05:30,752.3060837483175,758.1463788285317,740.4770483743488,756.1666259765625,133684,0.0,0.0
2018-01-22 00:00:00+05:30,758.1958138148148,761.1654429096566,748.445495369729,752.1575317382812,41184,0.0,0.0
2018-01-23 00:00:00+05:30,752.3060821354505,765.8179194880777,752.3060821354505,760.7200317382812,92066,0.0,0.0
2018-01-24 00:00:00+05:30,760.225041322314,762.9472013010072,744.9314395403861,748.593994140625,257127,0.0,0.0
2018-01-25 00:00:00+05:30,743.595149404674,753.1474202298638,740.4275329023883,747.8021240234375,514771,0.0,0.0
2018-01-29 00:00:00+05:30,749.4353644762024,763.5411025400833,749.4353644762024,756.01806640625,97554,0.0,0.0
2018-01-30 00:00:00+05:30,752.4050082653927,760.2250557926635,746.564773904841,755.7211303710938,70544,0.0,0.0
2018-01-31 00:00:00+05:30,757.4534140268713,762.2048085421236,749.3364156706332,755.7211303710938,62770,0.0,0.0
2018-02-01 00:00:00+05:30,757.2554169229095,794.6727313227075,757.2554169229095,789.2778930664062,529163,0.0,0.0
2018-02-02 00:00:00+05:30,789.9213862422231,791.8516573522072,757.2554642547627,760.7200317382812,798412,0.0,0.0
2018-02-05 00:00:00+05:30,772.1035641497775,772.1035641497775,738.6457551200722,752.9989624023438,91112,0.0,0.0
2018-02-07 00:00:00+05:30,758.2453088872451,782.002342063869,737.2599174977754,739.53662109375,148111,0.0,0.0
2018-02-08 00:00:00+05:30,744.486003531518,752.3060511245853,739.4376581448228,746.1193237304688,302442,0.0,0.0
2018-02-09 00:00:00+05:30,740.4275171009526,745.8718370796361,734.5872224114615,742.3577880859375,675633,0.0,0.0
2018-02-12 00:00:00+05:30,758.9382131264032,762.2047930130074,736.4680077943864,739.1406860351562,173572,0.0,0.0
2018-02-14 00:00:00+05:30,747.3566806327835,747.3566806327835,733.498411058136,738.8932495117188,213494,0.0,0.0
2018-02-15 00:00:00+05:30,742.4073012539388,744.5355596844378,735.1317338685546,742.9517211914062,328687,0.0,0.0
2018-02-16 00:00:00+05:30,742.9517285694495,744.8819996553309,733.4984209230568,736.2205810546875,319149,0.0,0.0
2018-02-19 00:00:00+05:30,737.2104165676835,737.2104165676835,711.5725947651939,719.7390747070312,84926,0.0,0.0
2018-02-20 00:00:00+05:30,722.60974815089,726.0743154365449,696.8729626003103,701.871826171875,1403520,0.0,0.0
2018-02-21 00:00:00+05:30,711.6221746599801,711.6221746599801,693.9033627704076,701.2779541015625,85216,0.0,0.0
2018-02-22 00:00:00+05:30,699.6446350683336,717.1159778858168,693.0619931868861,713.6019287109375,85031,0.0,0.0
2018-02-23 00:00:00+05:30,715.6806210872438,716.9674482948202,706.7717336878176,712.01806640625,119080,0.0,0.0
2018-02-26 00:00:00+05:30,712.7109863277603,729.5388846160547,712.2655298778537,728.2025756835938,139357,0.0,0.0
2018-02-27 00:00:00+05:30,733.498407654747,734.4882840483431,724.5895201123816,731.964111328125,129181,0.0,0.0
2018-02-28 00:00:00+05:30,731.4691880271836,731.4691880271836,717.6603999718589,721.3724365234375,66198,0.0,0.0
2018-03-01 00:00:00+05:30,722.6097775156144,730.5287887760594,719.9370991317619,725.5794067382812,92722,0.0,0.0
2018-03-07 00:00:00+05:30,727.5096918846799,727.5096918846799,697.4174243461752,702.6637573242188,89354,0.0,0.0
2018-03-08 00:00:00+05:30,707.7616480004136,722.4118070923543,700.8325129850249,719.8876342773438,203343,0.0,0.0
2018-03-09 00:00:00+05:30,722.510829260751,731.1722480093073,716.5715706903126,721.5704345703125,169861,0.0,0.0
2018-03-12 00:00:00+05:30,723.6985952894181,732.4095557436135,723.6985952894181,729.7368774414062,99236,0.0,0.0
2018-03-13 00:00:00+05:30,729.5389123685038,733.0034797949486,723.59965392317,725.5794067382812,47990,0.0,0.0
2018-03-14 00:00:00+05:30,725.2824425691676,726.5692697918865,715.730111244918,721.3229370117188,53526,0.0,0.0
2018-03-15 00:00:00+05:30,721.7188658592924,730.1328153384072,721.7188658592924,727.608642578125,278144,0.0,0.0
2018-03-16 00:00:00+05:30,730.4793157369606,743.6446600307584,727.7076738462551,734.0428466796875,248322,0.0,0.0
2018-03-19 00:00:00+05:30,739.3881701951154,741.4174046798796,731.3701353093701,735.1317138671875,99395,0.0,0.0
2018-03-20 00:00:00+05:30,735.3792178065439,735.4286995441737,725.0844788545371,732.3600463867188,124755,0.0,0.0
2018-03-21 00:00:00+05:30,735.5276390480248,742.4072920376927,732.5085281438569,738.2003173828125,77147,0.0,0.0
2018-03-22 00:00:00+05:30,741.8629001528523,741.8629001528523,719.0462605984375,722.4118041992188,95967,0.0,0.0
2018-03-23 00:00:00+05:30,722.4117577254843,729.7863487142205,716.1755487212458,725.8268432617188,100804,0.0,0.0
2018-03-26 00:00:00+05:30,727.5591474993174,752.0585881804169,720.0361110934394,740.2295532226562,103667,0.0,0.0
2018-03-27 00:00:00+05:30,738.447794719285,746.366805922709,734.488289117573,737.21044921875,1105298,0.0,0.0
2018-03-28 00:00:00+05:30,736.4680613059462,744.1396036112164,727.5591734675678,732.70654296875,51756,0.0,0.0
2018-04-02 00:00:00+05:30,735.7256171033315,743.8920972124503,730.7267534836259,740.0315551757812,57329,0.0,0.0
2018-04-03 00:00:00+05:30,749.3364097621343,763.9865679091707,738.3982879910661,761.6109008789062,1061202,0.0,0.0
2018-04-04 00:00:00+05:30,768.1440589317626,778.2408099341628,742.4567551868686,749.2869262695312,137023,0.0,0.0
2018-04-05 00:00:00+05:30,762.2048186706232,772.0046190775781,757.2554367312036,763.3432006835938,516450,0.0,0.0
2018-04-06 00:00:00+05:30,765.3229551171812,766.9562149103716,755.8201055225547,761.660400390625,530821,0.0,0.0
2018-04-09 00:00:00+05:30,761.7098861577856,780.022599470221,761.7098861577856,778.0428466796875,87833,0.0,0.0
2018-04-10 00:00:00+05:30,775.0731991906987,777.3004210274536,762.0563007334276,771.41064453125,67236,0.0,0.0
2018-04-11 00:00:00+05:30,772.1036124433984,781.5569202302466,765.6199339351788,778.7852783203125,43818,0.0,0.0
2018-04-12 00:00:00+05:30,782.0023613067333,785.8629034598356,773.1924371200441,779.9236450195312,54234,0.0,0.0
2018-04-13 00:00:00+05:30,786.9517104789342,790.9112159404633,774.9742306247116,780.1710815429688,56707,0.0,0.0
